"group","key","source","local_path","status","size_bytes","note"
"web","history_frus_1952_54_v11_p2_d1149","https://history.state.gov/historicaldocuments/frus1952-54v11p2/d1149","C:\projects\GPTStoryworld\social-reasoning\sources\web\history_frus_1952_54_v11_p2_d1149.html","ok","31701","html snapshot"
"web","history_milestones_seato","https://history.state.gov/milestones/1953-1960/seato","C:\projects\GPTStoryworld\social-reasoning\sources\web\history_milestones_seato.html","ok","30470","html snapshot"
"web","history_frus_1969_76_v11","https://history.state.gov/historicaldocuments/frus1969-76v11","C:\projects\GPTStoryworld\social-reasoning\sources\web\history_frus_1969_76_v11.html","ok","31246","html snapshot"
"web","history_frus_1969_76_v11_d116","https://history.state.gov/historicaldocuments/frus1969-76v11/d116","C:\projects\GPTStoryworld\social-reasoning\sources\web\history_frus_1969_76_v11_d116.html","ok","35883","html snapshot"
"web","history_frus_1969_76_ve07_pressrelease","https://history.state.gov/historicaldocuments/frus1969-76ve07/pressrelease","C:\projects\GPTStoryworld\social-reasoning\sources\web\history_frus_1969_76_ve07_pressrelease.html","ok","34261","html snapshot"
"pdf","arxiv_pdf_2508_07485","https://arxiv.org/pdf/2508.07485.pdf","C:\projects\GPTStoryworld\social-reasoning\sources\pdf\goodstartlabs_democratizing_diplomacy_2508.07485.pdf","ok","4428672","copied from papers/arxiv"
"pdf","arxiv_pdf_2310_08901","https://arxiv.org/pdf/2310.08901.pdf","C:\projects\GPTStoryworld\social-reasoning\sources\pdf\welfare_diplomacy_2310.08901.pdf","ok","17161220","copied from papers/arxiv"
"pdf","arxiv_pdf_2110_02924","https://arxiv.org/pdf/2110.02924.pdf","C:\projects\GPTStoryworld\social-reasoning\sources\pdf\no_press_diplomacy_from_scratch_2110.02924.pdf","ok","1635356","copied from papers/arxiv"
"pdf","arxiv_pdf_2006_04635","https://arxiv.org/pdf/2006.04635.pdf","C:\projects\GPTStoryworld\social-reasoning\sources\pdf\learning_no_press_diplomacy_2006.04635.pdf","ok","1488948","copied from papers/arxiv"
"pdf","arxiv_pdf_2210_05492","https://arxiv.org/pdf/2210.05492.pdf","C:\projects\GPTStoryworld\social-reasoning\sources\pdf\mastering_no_press_diplomacy_2210.05492.pdf","ok","767688","copied from papers/arxiv"
"pdf","arxiv_pdf_2304_03442","https://arxiv.org/pdf/2304.03442.pdf","C:\projects\GPTStoryworld\social-reasoning\sources\pdf\generative_agents_2304.03442.pdf","ok","11947867","copied from papers/arxiv"
"pdf","arxiv_pdf_2402_01680","https://arxiv.org/pdf/2402.01680.pdf","C:\projects\GPTStoryworld\social-reasoning\sources\pdf\llm_multi_agent_survey_2402.01680.pdf","ok","1243493","copied from papers/arxiv"
"pdf","arxiv_pdf_2308_08155","https://arxiv.org/pdf/2308.08155.pdf","C:\projects\GPTStoryworld\social-reasoning\sources\pdf\autogen_2308.08155.pdf","ok","3571809","copied from papers/arxiv"
"pdf","arxiv_pdf_2303_17760","https://arxiv.org/pdf/2303.17760.pdf","C:\projects\GPTStoryworld\social-reasoning\sources\pdf\camel_2303.17760.pdf","ok","7536497","copied from papers/arxiv"
"pdf","arxiv_pdf_2308_10848","https://arxiv.org/pdf/2308.10848.pdf","C:\projects\GPTStoryworld\social-reasoning\sources\pdf\agentverse_2308.10848.pdf","ok","4652125","copied from papers/arxiv"
"local","rules_from_ai_diplomacy","C:\projects\AI_Diplomacy\rules.pdf","C:\projects\GPTStoryworld\social-reasoning\sources\local\rules_from_ai_diplomacy.pdf","ok","2891778","copied local source"
"local","SAE_Storyworlds","C:\projects\GPTStoryworld\papers\SAE_Storyworlds.pdf","C:\projects\GPTStoryworld\social-reasoning\sources\local\SAE_Storyworlds.pdf","ok","319190","copied local source"
"local","Spectral_Triplet_For_Storyworlds","C:\projects\GPTStoryworld\papers\Spectral Triplet For Storyworlds — A Decoder & Evaluation Framework.pdf","C:\projects\GPTStoryworld\social-reasoning\sources\local\Spectral_Triplet_For_Storyworlds.pdf","ok","51683","copied local source"
"local","Storyworld_Saes_Multi_agent_Secret_Ending_Eval_Draft_V0","C:\projects\GPTStoryworld\papers\Storyworld Saes & Multi‑agent Secret Ending Eval — Draft V0.pdf","C:\projects\GPTStoryworld\social-reasoning\sources\local\Storyworld_Saes_Multi_agent_Secret_Ending_Eval_Draft_V0.pdf","ok","70279","copied local source"
